Original order,Code,Country,Order,Continent,Wikipedia
145,NGA,Nigeria,159,Africa,https://en.wikipedia.org/wiki/Nigeria
146,MKD,North Macedonia,76,Europe,https://en.wikipedia.org/wiki/North_Macedonia
147,MNP,Northern Mariana Islands,A18,Other,https://en.wikipedia.org/wiki/Northern_Mariana_Islands
148,NOR,Norway,39,Europe,https://en.wikipedia.org/wiki/Norway
149,OMN,Oman,96,Asia,https://en.wikipedia.org/wiki/Oman
150,PAK,Pakistan,103,Asia,https://en.wikipedia.org/wiki/Pakistan
151,PLW,Palau,135,Oceania,https://en.wikipedia.org/wiki/Palau
152,PAN,Panama,10,North America,https://en.wikipedia.org/wiki/Panama
153,PNG,Papua New Guinea,126,Oceania,https://en.wikipedia.org/wiki/Papua_New_Guinea
154,PRY,Paraguay,32,South America,https://en.wikipedia.org/wiki/Paraguay
155,PER,Peru,30,South America,https://en.wikipedia.org/wiki/Peru
156,PHL,Philippines,120,Asia,https://en.wikipedia.org/wiki/Philippines
157,POL,Poland,50,Europe,https://en.wikipedia.org/wiki/Poland
158,PRT,Portugal,64,Europe,https://en.wikipedia.org/wiki/Portugal
159,PRI,Puerto Rico,A19,Other,https://en.wikipedia.org/wiki/Puerto_Rico
160,QAT,Qatar,93,Asia,https://en.wikipedia.org/wiki/Qatar
161,ROU,Romania,49,Europe,https://en.wikipedia.org/wiki/Romania
162,RUS,Russian Federation,42,Europe,https://en.wikipedia.org/wiki/Russia
163,RWA,Rwanda,175,Africa,https://en.wikipedia.org/wiki/Rwanda
164,WSM,Samoa,136,Oceania,https://en.wikipedia.org/wiki/Samoa
165,SMR,San Marino,68,Europe,https://en.wikipedia.org/wiki/San_Marino
166,STP,Sao Tome and Principe,190,Africa,https://en.wikipedia.org/wiki/Sao_Tome_and_Principe
167,SAU,Saudi Arabia,90,Asia,https://en.wikipedia.org/wiki/Saudi_Arabia
168,SEN,Senegal,148,Africa,https://en.wikipedia.org/wiki/Senegal
169,SRB,Serbia,73,Europe,https://en.wikipedia.org/wiki/Serbia
170,SYC,Seychelles,191,Africa,https://en.wikipedia.org/wiki/Seychelles
171,SLE,Sierra Leone,152,Africa,https://en.wikipedia.org/wiki/Sierra Leone
172,SGP,Singapore,122,Asia,https://en.wikipedia.org/wiki/Singapore
173,SXM,Sint Maarten (Dutch part),A20,Other,https://en.wikipedia.org/wiki/Sint_Maarten
174,SVK,Slovak Republic,52,Europe,https://en.wikipedia.org/wiki/Slovakia
175,SVN,Slovenia,70,Europe,https://en.wikipedia.org/wiki/Slovenia
176,SLB,Solomon Islands,127,Oceania,https://en.wikipedia.org/wiki/Solomon_Islands
177,SOM,Somalia,174,Africa,https://en.wikipedia.org/wiki/Somalia
178,ZAF,South Africa,185,Africa,https://en.wikipedia.org/wiki/South_Africa
179,SSD,South Sudan,168,Africa,https://en.wikipedia.org/wiki/South_Sudan
180,ESP,Spain,63,Europe,https://en.wikipedia.org/wiki/Spain
181,LKA,Sri Lanka,108,Asia,https://en.wikipedia.org/wiki/Sri_Lanka
182,KNA,St. Kitts and Nevis,20,North America,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
183,LCA,St. Lucia,21,North America,https://en.wikipedia.org/wiki/Saint_Lucia
184,MAF,St. Martin (French part),A21,Other,https://en.wikipedia.org/wiki/Collectivity_of_Saint_Martin
185,VCT,St. Vincent and the Grenadines,22,North America,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
186,SDN,Sudan,167,Africa,https://en.wikipedia.org/wiki/Sudan
187,SUR,Suriname,27,South America,https://en.wikipedia.org/wiki/Suriname
188,SWE,Sweden,40,Europe,https://en.wikipedia.org/wiki/Sweden
189,CHE,Switzerland,66,Europe,https://en.wikipedia.org/wiki/Switzerland
190,SYR,Syrian Arab Republic,84,Asia,https://en.wikipedia.org/wiki/Syria
191,TJK,Tajikistan,101,Asia,https://en.wikipedia.org/wiki/Tajikistan
192,TZA,Tanzania,177,Africa,https://en.wikipedia.org/wiki/Tanzania
193,THA,Thailand,116,Asia,https://en.wikipedia.org/wiki/Thailand
194,TLS,Timor-Leste,125,Asia,https://en.wikipedia.org/wiki/Timor-Leste
195,TGO,Togo,156,Africa,https://en.wikipedia.org/wiki/Togo
196,TON,Tonga,137,Oceania,https://en.wikipedia.org/wiki/Tonga
197,TTO,Trinidad and Tobago,23,North America,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
198,TUN,Tunisia,142,Africa,https://en.wikipedia.org/wiki/Tunisia
199,TUR,Turkey,80,Asia,https://en.wikipedia.org/wiki/Turkey
200,TKM,Turkmenistan,99,Asia,https://en.wikipedia.org/wiki/Turkmenistan
201,TCA,Turks and Caicos Islands,A22,Other,https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands
202,TUV,Tuvalu,138,Oceania,https://en.wikipedia.org/wiki/Tuvalu
203,UGA,Uganda,169,Africa,https://en.wikipedia.org/wiki/Uganda
204,UKR,Ukraine,47,Europe,https://en.wikipedia.org/wiki/Ukraine
205,ARE,United Arab Emirates,94,Asia,https://en.wikipedia.org/wiki/United_Arab_Emirates
206,GBR,United Kingdom,38,Europe,https://en.wikipedia.org/wiki/United_Kingdom
207,USA,United States,2,North America,https://en.wikipedia.org/wiki/United_States
208,URY,Uruguay,33,South America,https://en.wikipedia.org/wiki/Uruguay
209,UZB,Uzbekistan,98,Asia,https://en.wikipedia.org/wiki/Uzbekistan
210,VUT,Vanuatu,139,Oceania,https://en.wikipedia.org/wiki/Vanuatu
211,VEN,"Venezuela, RB",25,South America,https://en.wikipedia.org/wiki/Venezuela
212,VNM,Vietnam,119,Asia,https://en.wikipedia.org/wiki/Vietnam
213,VIR,Virgin Islands (U.S.),A23,Other,https://en.wikipedia.org/wiki/United_States_Virgin_Islands
214,PSE,West Bank and Gaza,A24,Other,https://en.wikipedia.org/wiki/Palestinian_territories
215,YEM,"Yemen, Rep.",95,Asia,https://en.wikipedia.org/wiki/Yemen
216,ZMB,Zambia,182,Africa,https://en.wikipedia.org/wiki/Zambia
217,ZWE,Zimbabwe,184,Africa,https://en.wikipedia.org/wiki/Zimbabwe
